,Name,Price,Link,Brand
91,Anushé Pirani Handwoven Cotton Ikat Men's Grey Shirt,"₹6,600",https://upcycleluxe.com/products/anushe-pirani-handwoven-cotton-ikat-mens-grey-shirt-fi-24m-07,anushe-pirani%20
92,Anushé Pirani Handwoven Cotton Ikat Men's Pink Shirt,"₹7,000",https://upcycleluxe.com/products/anushe-pirani-handwoven-cotton-ikat-mens-pink-shirt-fi-24m-06,anushe-pirani%20
93,Anushé Pirani Handwoven Cotton Ikat Men's Royal Blue Shirt,"₹6,000",https://upcycleluxe.com/products/anushe-pirani-handwoven-cotton-ikat-mens-royal-blue-shirt-fi-24m-05,anushe-pirani%20
94,Anushé Pirani Handwoven Cotton Ikat Men's White/Blue/Pink Shirt,"₹7,000",https://upcycleluxe.com/products/anushe-pirani-handwoven-cotton-ikat-mens-white-blue-pink-shirt-fi-24m-04,anushe-pirani%20
95,Anushé Pirani Handwoven Cotton Ikat Men's Royal Blue Shirt,"₹5,800",https://upcycleluxe.com/products/anushe-pirani-handwoven-cotton-ikat-mens-royal-blue-shirt-fi-24m-03,anushe-pirani%20
96,Anushé Pirani Handwoven Cotton Ikat Men's White/Blue/Yellow Shirt,"₹6,500",https://upcycleluxe.com/products/anushe-pirani-handwoven-cotton-ikat-mens-white-blue-yellow-shirt-fi-24m-02,anushe-pirani%20
97,Anushé Pirani Handwoven Cotton Ikat Men's Turquoise Shirt,"₹7,000",https://upcycleluxe.com/products/anushe-pirani-handwoven-cotton-ikat-mens-turquoise-shirt-fi-24m-01,anushe-pirani%20
98,Anushé Pirani Handwoven Cotton Ikat Women's White/Blue/Yellow Pants,"₹7,500",https://upcycleluxe.com/products/anushe-pirani-handwoven-cotton-ikat-womens-white-blue-yellow-pants-fi-24w-20,anushe-pirani%20
99,Earthy Route Lyocell Linen Half Shirt in Mint Green,"₹1,701",https://upcycleluxe.com/products/sustainable-cotton-mens-shirt,earthy-route
100,Earthy Route Lyocell Linen Full Sleeve Shirt in Fresh Green,"₹2,061",https://upcycleluxe.com/products/eco-friendly-cotton-shirts-for-men-online,earthy-route
101,Earthy Route Tencel™ Lyocell Linen Half Sleeve Shirt with Red Lakeer,"₹1,701",https://upcycleluxe.com/products/earth-route-sustainable-shirt-for-men,earthy-route
102,Earthy Route Lyocell Linen Mandarin Shirt in Snow White,"₹1,971",https://upcycleluxe.com/products/earthy-route-mens-shirt-online-india,earthy-route
103,Earthy Route Lyocell Linen Half Shirt in Snow White,"₹1,701",https://upcycleluxe.com/products/earth-route-organic-cotton-mens-shirt,earthy-route
104,Earthy Route Linen Lyocell Sleeveless Top in Forest Green,"₹1,260",https://upcycleluxe.com/products/sleeveless-womens-top-online,earthy-route
105,Earthy Route Lyocell Linen Mandarin Shirt in Ice Blue,"₹1,971",https://upcycleluxe.com/products/lyocell-tencel-fabric-men-shirt-online,earthy-route
